survdate,camp,zone,wsconst,respondentsex,respondentage,hhhead,hhsize,chhhsize,maleless18,male1860,malemore60,femaleless18,female1860,femalemore60,psn,psncat_1,psncat_2,psncat_3,psncat_4,psncat_5,psncat_6,psncat_7,education,countryoforigin,source,sourceunav,sourceunavdays,a_source_2,sourceotheract_1,sourceotheract_2,sourceotheract_3,sourceotheract_4,sourceotheract_5,sourceotheract_6,sourceotheract_7,sourceotheract_8,sourceotheract_9,sourceotheract_10,sourceotheract_11,sourceotheract_96,sourceotheract_98,container,x_tot_vol_collected_potable,xtot_coll_potaprot,x_tot_vol_collected_all,x_tot_container_clean,x_percent_container_clean,x_tot_vol_storage,x_avg_vol_collected_potable,potaprot,x_avg_vol_collected_all,storage,addstoragecont,addstoragecont_type,timewater,x_dist_to_water_point_meters,timeatsource,timeatsourcereason,feelsafe,waterneeedscovered,reasonnotcovered,unsafewater,watercollector_1,watercollector_2,watercollector_3,watercollector_4,watercollector_98,payforwater,cleanfreq,cleanhow_1,cleanhow_2,cleanhow_3,cleanhow_4,cleanhow_5,cleanhow_96,cleanhow_98,washplatform,washplatformuse,washplatformusenot,hwtssampleq,hwtscontainermethod,waterquality,hwtsmakepotable,presencesoap,originsoap_1,originsoap_2,originsoap_3,originsoap_4,originsoap_96,soapusage_1,soapusage_2,soapusage_3,soapusage_4,soapusage_5,soapusage_6,soapusage_96,reasonnosoap,soapreplacer,washhandstime_1,washhandstime_2,washhandstime_3,washhandstime_4,washhandstime_5,washhandstime_6,washhandstime_96,washhandstime_98,washhandswhy_1,washhandswhy_2,washhandswhy_3,washhandswhy_4,washhandswhy_5,washhandswhy_6,washhandswhy_7,washhandswhy_98,washhandsbfeat,washhandsbfeatmat,washhandsbfeatmeth,washhandsbfeatsharebowl,washhandsaflatmat,washdevice,typewashdevice,waterdevice,soapdevice,keymessagesaware,defecateadults,defecatechildren,faeceschildren,defecatebush,defecatebushreason,cleaninglatrine,cleaninglatrinewho_1,cleaninglatrinewho_2,cleaninglatrinewho_3,cleaninglatrinewho_4,cleaninglatrinewho_98,cleaninglatrinematerials,psnlatrineneeds,psnlatrineaccess,latrinetype,latrineused,psnactualaccess,superstructure,toiletslab,latrinefull,latrineclean,opendefecation,latrinelid,handwashstation,waterhandwashstation,soaphandwashstation,bathingfacility,bathingfacilitysatisf,bathingwhere,domesticwaste,domesticwaste_dist,courtclean,abnormalvectors_1,abnormalvectors_2,abnormalvectors_3,abnormalvectors_4,abnormalvectors_96,abnormalvectors_0,courtcleanfrequence,commmeans_1,commmeans_2,commmeans_3,commmeans_4,commmeans_5,commmeans_6,commmeans_7,commmeans_96,commmeans_how,visitchw,commmeeting,ableread,haveradio,havemobile,distrib,nblessfivediarrhea,nbmorefivediarrhea,diarrheawho_1,diarrheawho_2,diarrheawho_3,diarrheawho_4,diarrheawho_96,diarrheadays,diarrheaaction_0,diarrheaaction_1,diarrheaaction_2,diarrheaaction_3,diarrheaaction_4,diarrheaaction_5,diarrheaaction_6,diarrheaaction_7,diarrheaaction_8,diarrheaaction_96,knowledgeors,knowledgesss,illnesscatch_1,illnesscatch_2,illnesscatch_3,illnesscatch_4,illnesscatch_5,illnesscatch_6,illnesscatch_96,illnesscatch_98,illnessprevent_1,illnessprevent_3,illnessprevent_4,illnessprevent_5,illnessprevent_6,illnessprevent_7,illnessprevent_8,illnessprevent_9,illnessprevent_10,illnessprevent_11,illnessprevent_12,illnessprevent_13,illnessprevent_14,illnessprevent_96,illnessprevent_98,nbwomenreprod,interview_woman,consent_menstrual,periodmaterialopt_1,periodmaterialopt_2,periodmaterialopt_3,periodmaterialopt_4,periodmaterialopt_5,periodmaterialopt_6,periodmaterialopt_7,periodmaterialopt_8,periodmaterialopt_96,periodmaterialopt_0,periodmaterialprefered,periodprivhome,periodprivworkschool,toiletpapermhm,womenmhmdisposal,womenmhmdispwash,womenmhmdispsoap,periodmaterialoptbefo_1,periodmaterialoptbefo_2,periodmaterialoptbefo_3,periodmaterialoptbefo_4,periodmaterialoptbefo_5,periodmaterialoptbefo_6,periodmaterialoptbefo_7,periodmaterialoptbefo_0,periodmaterialoptbefo_96,periodmaterialoptbefo_8,womenmhmtaught,womenmhmtaughtwho,womenmhmtaughtenough,femalechildren,femalechildrentaught,femalechildrentaughtage,femalechildrenteach,femalechildrenteachage,femalechildrenteachwho,womenmhmsatisfaction,calc_menstrual_hygiene,experiencedharassment,experiencedharassmentwhere,consentgps,surv_weight
2021-04-29,Nduta Camp,3,Yes,Female,Female 18 to 59 years,Male headed,3,0.3333333333333330,0,0.3333333333333330,0,0,0.3333333333333330,0,No,NA,NA,NA,NA,NA,NA,NA,Secondary,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,5,235,235,235,5,100,90,78.3,78.3,78.3,30,Yes,Narrow neck container with cover,2,160,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Water only,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,Yes,Water only,By using running water (run-to-waste method),NA,Water only,No,NA,NA,NA,No,Household latrine,Open defecation,Collected and disposed in latrine,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,No,Yes,No,No,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,1,0,1,0,1,1,0,Home visits from CHWs,No,No,Yes easily,No,No,No,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,1,Yes,Yes,0,1,0,0,0,0,1,0,0,0,No,Yes,Not applicable,No,In the latrine,NA,NA,1,0,0,0,0,0,1,0,0,0,Yes,Teacher,Yes,No,NA,NA,NA,NA,NA,Good,0,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,NA,Yes,Female,Female 18 to 59 years,Female headed,6,0.5,0.16666666666666700,0.16666666666666700,0,0,0.16666666666666700,0,Yes,0,1,0,0,0,0,0,None,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,7,220,200,220,7,100,80,36.6,33.3,36.6,13.3,Yes,Wide open container with cover,4,320,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Water only,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,Yes,Water and soap,By dipping them into a bowl of water,No,Water and soap,No,NA,NA,NA,No,Household latrine,Open defecation,Collected and disposed in latrine,No,NA,Daily,1,0,0,0,0,Do not have any,Yes,No,Pit latrine,Yes,No,Bricks,Concrete,No,Yes,No,Yes,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,0,1,1,1,0,1,0,Home visits from CHWs,No,No,"No, cannot read",No,No,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,1,Yes,Yes,0,1,0,0,0,0,1,0,0,0,"Yes, Disposable pad",Yes,Not applicable,No,In the latrine,NA,NA,0,0,1,0,0,0,1,0,0,0,Yes,Mother,Yes,Yes,Yes,3,NA,NA,NA,Good,0,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,NA,Yes,Female,Female 18 to 59 years,Female headed,5,0,0,0.2,0,0.2,0.4,0,No,NA,NA,NA,NA,NA,NA,NA,Primary/Basic,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,5,220,160,220,5,100,70,44,32,44,14,Yes,Narrow neck container with cover,2,160,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers touched the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,0,1,0,0,NA,Water only,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,Yes,Water only,By dipping them into a bowl of water,No,Water and soap,No,NA,NA,NA,Yes,Household latrine,NA,NA,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,No,Yes,No,No,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,1,0,1,1,0,1,0,Home visits from CHWs,No,No,"Yes, but with difficulty",No,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,2,Yes,Yes,0,1,0,0,0,0,1,0,0,0,No,Yes,Not applicable,No,In the latrine,NA,NA,1,0,0,0,0,0,1,0,0,0,Yes,Mother,Yes,Yes,Yes,2,NA,NA,NA,Average,0,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,2,Yes,Female,Female 18 to 59 years,Female headed,8,0,0.25,0.375,0,0.25,0.125,0,No,NA,NA,NA,NA,NA,NA,NA,None,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,4,190,190,190,4,100,75,23.7,23.7,23.7,9.3,No,NA,6,480,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers touched the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Water only,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,Yes,Water and soap,By dipping them into a bowl of water,No,Water and soap,No,NA,NA,NA,No,Household latrine,NA,NA,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,Yes,Yes,No,No,No,NA,NA,Do not have a designated bathing facility,NA,In my neighbor’s bathroom,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,1,0,1,1,0,1,0,Home visits from CHWs,No,No,"No, cannot read",No,No,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,2,Yes,Male,Female 18 to 59 years,Female headed,4,0,0.5,0.25,0,0,0.25,0,Yes,0,0,0,1,0,0,0,Secondary,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,5,230,230,230,5,100,90,57.5,57.5,57.5,22.5,Yes,Narrow neck container with cover,3,240,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Not clear in colour/suspended particles/turbid,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Ash,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,Yes,Water and soap,By using running water (run-to-waste method),NA,Water and soap,Yes,Pouring device (e.g. tippy tap),Yes,Yes,No,Household latrine,NA,NA,No,NA,Daily,1,0,0,0,0,Do not have any,No,No,Pit latrine,Yes,NA,Bricks,Concrete,No,Yes,No,Yes,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,1,0,1,1,0,1,0,Home visits from CHWs,No,No,Yes easily,No,Yes,No,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,1,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,2,Yes,Female,Female 18 to 59 years,Female headed,8,0.25,0.375,0.125,0,0.125,0.125,0,No,NA,NA,NA,NA,NA,NA,NA,None,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,7,285,225,285,7,100,95,35.6,28.1,35.6,11.8,Yes,Narrow neck container with cover,0.1,8,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Ash,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,Yes,Water and soap,By using running water (run-to-waste method),NA,Water and soap,No,NA,NA,NA,Yes,Household latrine,Open defecation,Collected and disposed in latrine,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,No,Yes,No,No,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,0,0,1,1,0,1,0,Home visits from CHWs,No,No,"No, cannot read",No,No,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,2,Yes,Yes,0,1,0,0,0,0,1,0,0,0,No,Yes,Not applicable,No,In the latrine,NA,NA,1,0,1,0,0,0,1,0,0,0,Yes,Friend,Yes,Yes,Yes,2,NA,NA,NA,Average,0,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,2,Yes,Male,Female 18 to 59 years,Male headed,3,0.3333333333333330,0,0.3333333333333330,0,0,0.3333333333333330,0,No,NA,NA,NA,NA,NA,NA,NA,None,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,5,185,185,185,5,100,95,61.6,61.6,61.6,31.6,Yes,Wide open container with cover,0.5,40,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Ash,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,Yes,Water and soap,By using running water (run-to-waste method),NA,Water and soap,No,NA,NA,NA,Yes,Household latrine,Open defecation,Collected and disposed in latrine,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,No,Yes,No,No,No,NA,NA,Do not have a designated bathing facility,NA,Bathing outside during the night,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,0,0,1,1,0,1,0,Home visits from CHWs,No,No,Yes easily,No,No,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,NA,Yes,Female,Female 18 to 59 years,Female headed,4,0.5,0,0.25,0,0,0.25,0,No,NA,NA,NA,NA,NA,NA,NA,Primary/Basic,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,2,125,25,125,2,100,5,31.2,6.2,31.2,1.2,Yes,Wide open container with cover,1,80,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,0,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Poured,Not clear in colour/suspended particles/turbid,"Yes, SOMETIMES we treat it before drinking",Yes,0,0,0,1,0,1,1,1,1,1,0,0,NA,Water only,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,Yes,Water and soap,By using running water (run-to-waste method),NA,Water and soap,No,NA,NA,NA,Yes,Household latrine,Plastic pot,Collected and disposed in latrine,No,NA,No regular interval,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Metal,Concrete,No,No,No,No,No,NA,NA,Have a designated shower/bathing facility,No,NA,Household pit,2,Yes,0,1,0,0,0,0,Daily,1,0,0,1,1,0,0,0,Home visits from CHWs,No,Yes,Yes easily,No,No,No,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,No,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,Yes,Yes,0,1,0,0,0,0,1,0,0,0,No,Yes,Not applicable,Don’t know,Wash/reuse,Water and soap,Regular (non- medicated) soap,1,0,0,0,0,0,1,0,0,0,Yes,Friend,Yes,Yes,No,NA,Yes,3,Mother,Average,0,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,2,Yes,Male,Female 18 to 59 years,Female headed,8,0.25,0.125,0.25,0,0.25,0.125,0,No,NA,NA,NA,NA,NA,NA,NA,Primary/Basic,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,6,330,90,330,6,100,30,41.2,11.2,41.2,3.7,No,NA,2,160,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,1,1,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Cup dipped (fingers did not touch the water),Very good,"No, we do not treat it before drinking",Yes,0,0,0,0,1,1,1,1,1,1,0,0,NA,Ash,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,Yes,Water and soap,By dipping them into a bowl of water,No,Water only,Yes,Pouring device (e.g. tippy tap),Yes,No,Yes,Household latrine,Plastic pot,Collected and disposed in latrine,No,NA,Daily,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,Yes,Yes,No,Yes,No,NA,NA,Do not have a designated bathing facility,NA,Other,Undesignated open area,2,Yes,0,0,0,0,0,1,Daily,0,1,1,1,1,0,1,0,Home visits from CHWs,No,No,"Yes, but with difficulty",No,No,No,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,Yes,45.9368421052632
2021-04-29,Nduta Camp,6,Yes,Male,Male 18 to 59 years,Male headed,3,0.3333333333333330,0,0.3333333333333330,0,0,0.3333333333333330,0,No,NA,NA,NA,NA,NA,NA,NA,Primary/Basic,Burundi,Public tap/standpipe,No,NA,Did not collect from another source,1,0,0,0,0,0,0,0,0,0,0,0,0,2,90,90,90,2,100,30,30,30,30,10,No,NA,2,160,Less than 10 Minutes,NA,Yes,No,Don't have enough storage containers,No,1,1,0,0,0,No,Every time we use them,1,0,0,0,0,0,0,Yes,Yes,NA,Yes,Poured,Very good,"No, we do not treat it before drinking",Yes,0,0,0,1,0,1,1,1,1,1,0,0,NA,Water only,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,Yes,Water and soap,By dipping them into a bowl of water,Yes,Water and soap,No,NA,NA,NA,Yes,Household latrine,Open defecation,Collected and disposed in latrine,No,NA,No regular interval,1,0,0,0,0,Do not have any,NA,NA,Pit latrine,Yes,NA,Bricks,Concrete,No,No,Yes,No,No,NA,NA,Do not have a designated bathing facility,NA,Bathing outside during the night,Designated open area,2,No,0,1,0,0,0,0,Daily,1,0,0,1,1,0,0,0,Home visits from CHWs,No,Yes,Yes easily,No,No,No,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,Yes,Yes,0,0,1,0,0,0,1,0,0,0,"Yes, Reusable pad",Yes,Not applicable,No,In the latrine,NA,NA,0,0,0,0,0,0,0,0,0,1,Yes,Mother,Yes,Yes,No,NA,Yes,3,Mother,Bad,0,No,NA,Yes,45.9368421052632
